account,tier,gcc_hq,gcc_affiliate_headcount_est,headcount_confidence,active_launches_next_18mo,launch_confidence,incumbent_research_vendors,incumbent_confidence,last_rfp_date_est,rfp_confidence,ma_access_contact_1,ma_access_contact_2,icp_score,icp_tier,bant_budget_hypothesis,bant_authority_hypothesis,bant_need_hypothesis,bant_timeline_hypothesis,bioNixus_entry_angle,priority_rank,notes
Pfizer,Tier-1,Riyadh + Dubai hub,450-650,Medium,"Oncology (Lorbrena/adjacent), vaccines portfolio refresh, anti-infectives; NUPCO tender cycles for hospital brands",Medium,"IQVIA (syndicated Rx), Kantar Health, Ipsos; local fieldwork via regional boutiques",Medium,Unknown (typical global panel RFPs Q1/Q3),Low,"Verify: Head MA KSA (LinkedIn: Ahmed Dawoud profile — confirm current employer)","GCC Commercial/Insights — procurement via global vendor manager",12,Qualified,"$150K-$400K GCC-addressable annually; project bands $35K-$120K","Country/GCC MA lead + global insights procurement","NUPCO listing/pricing evidence gaps; launch sequencing across KSA/UAE","Q3 2026–Q1 2027 fiscal planning; tender windows H2 2026",GCC Access Snapshot + oncology payer interviews,1,Large KSA manufacturing divestiture (Jamjoom/KAEC) signals portfolio reshaping — access intelligence need
Roche,Tier-1,Dubai (GCC) + Riyadh,350-500,Medium,"Oncology/breast portfolio, diagnostics-genomics integration, hemophilia; KSA/UAE trial expansion",Medium,"IQVIA, Kantar, in-house insights + CRO fieldwork partners",Medium,Unknown,Low,"Mohamed Elzohiery — Commercial Director Roche (verify scope)","Sameh Essa — Healthcare System Partner Roche Middle East",12,Qualified,"$120K-$350K GCC; diagnostics adds HEOR scope","GCC commercial director + global diagnostics MA","Payer evidence for premium oncology/diagnostics bundles","H2 2026 access submissions; Arab Health Jan 2027 prep",Multi-country launch readiness + KOL heatmap,2,Strong diagnostics angle — differentiate vs Kantar on payer depth
Novartis,Tier-1,Dubai GCC hub + Riyadh,400-550,Medium,"Immunology (Cosentyx line), cardio-metabolic, ophthalmology gene therapy pipeline; KSA localization partnerships",Medium,"IQVIA, Kantar Health, Ipsos; HEOR often via global consultancies",Medium,Unknown,Low,"Ahmed Bahgat Elredainy — Director Market Access GCC (public LinkedIn)","Rabab Khodary — MA & Public Affairs KSA (verify employer)",13,Qualified,"$150K-$400K GCC","GCC MA director + country presidents","SFDA/NUPCO dossier localization; competitive immunology landscape","Q4 2026–Q1 2027 brand planning",GCC Access Snapshot + immunology CI programme,3,High Vision 2030 alignment; multi-brand access complexity
AstraZeneca,Tier-1,Riyadh (country) + Dubai,400-600,Medium,"Oncology OBU launches, rare disease (GHE25 MoUs), respiratory; KSA rare disease care transformation",High,"Kantar, IQVIA, Ipsos; medical affairs agencies for KOL",Medium,Unknown,Low,"Hatem Werdany — Country President AZ Saudi Arabia","Active hire: Market Access Head OBU Riyadh (LinkedIn job 4345679109)",14,Qualified,"$180K-$450K GCC","Country president + OBU MA head (new role = buying signal)","Rare disease + oncology reimbursement; DHA/DoH pricing","H2 2026–H1 2027; OBU MA hire suggests Q3 2026 vendor selection",Rare disease access diagnostic + OBU payer map,4,Active MA hiring = near-term vendor evaluation window
MSD,Tier-1,Dubai GCC + Riyadh,300-450,Medium,"Oncology (Keytruda ecosystem), vaccines (Lifera localization MoU GHE25), HIV/hep portfolio",High,"IQVIA, Kantar Health, ZS-adjacent strategy partners",Medium,Unknown,Low,"Verify: MSD GCC leadership post-Lifera MoU (commercial/access)","Amira Deia Younes — Director EMEA Global Regulatory Policy MSD UAE (DIAGlobal speaker)",12,Qualified,"$120K-$300K GCC","GCC commercial lead + global regulatory/MA","Vaccine localization evidence; oncology tender competitiveness","2026–2027 localization milestones",HEOR/vaccine access + competitive CI,5,Lifera MoU creates localization research need
Sanofi,Tier-1,Dubai + Riyadh,350-500,Medium,"Insulin pen localization (NUPCO/Novo parallel), immunology, rare disease specialty care; GHE25 landmark agreements",High,"IQVIA, Kantar, Ipsos; medical comms for specialty",Medium,Unknown,Low,"Verify: Sanofi Specialty Care GCC leadership (GHE25 announcements)","Global procurement — vendor manager (not public)",13,Qualified,"$150K-$380K GCC","GCC specialty care lead + global insights","NUPCO insulin tender strategy; specialty launch sequencing","H2 2026 tender cycle; Vision 2030 manufacturing proof",Access Snapshot + specialty launch diagnostic,6,NUPCO insulin localization = high-intent access research
BMS,Tier-1,Riyadh + Dubai,250-380,Medium,"Oncology (Opdivo/Yervoy), cardio-metabolic (Eliquis), cell therapy pipeline readouts 2026",Medium,"IQVIA, Kantar, in-house CI + boutique HEOR",Medium,Unknown,Low,"Osama Braiwish — GM Saudi Arabia & Gulf Countries (Contract Pharma)","Verify: GCC MA director (role likely under GM)",11,Qualified,"$100K-$280K GCC","GM KSA/Gulf + global MA","Oncology access in NUPCO hospital channel; competitive BMS portfolio 2026 catalysts","Q4 2026 planning; 2026 regulatory catalysts per JPM26 commentary",Oncology access landscape + CI pulse,7,New GM appointment = relationship reset opportunity
AbbVie,Tier-1,Dubai + Jeddah/Riyadh,200-320,Medium,"Immunology (Skyrizi/Rinvoq), neuroscience, aesthetics; active MA Director KSA hire",High,"IQVIA, Kantar, ZS; immunology ATU via global networks",Medium,Unknown,Low,"Active role: Market Access Director Saudi Arabia (AbbVie careers JID-10518)","Market Access Lead KSA (AbbVie careers JID-2569)",12,Qualified,"$100K-$250K GCC","MA Director KSA (hiring) + immunology brand leads","Immunology pricing/reimbursement vs biosimilar pressure","Q3 2026 — active hiring signals vendor onboarding",Immunology payer interviews + ATU baseline,8,Two open MA roles = strong buying signal
Eli Lilly,Tier-1,Riyadh RHQ + Dubai,250-400,Medium,"Diabetes/obesity (Mounjaro/Zepbound GCC rollout), Alzheimer's; Saudi RHQ expansion",High,"IQVIA, Kantar, HEOR boutiques for obesity models",Medium,Unknown,Low,"Felipe Borges dos Reis — GM Saudi Arabia RHQ (PharmaBoardroom)","Verify: GCC MA/HEOR lead for obesity portfolio",13,Qualified,"$150K-$400K GCC (obesity wave)","GM Saudi RHQ + global obesity franchise","Obesity/diabetes access evidence for SFDA/NUPCO; pricing sensitivity","2026–2027 peak launch window GCC",HEOR/pharmacoeconomics GCC + launch readiness,9,Saudi RHQ + obesity = highest near-term spend potential
J&J,Tier-1,Dubai GCC + Riyadh,300-450,Medium,"Immunology (Tremfya/Stelara transition), oncology, medtech adjacency; EMEA emerging markets MA",Medium,"IQVIA, Kantar Health, Ipsos",Medium,Unknown,Low,"Ahmed Roshdy — Lead HEOR & Market Access Immunology EMEA Emerging (J&J)","Verify: KSA country MA lead",11,Qualified,"$120K-$300K GCC","EMEA emerging MA lead + country commercial","Biosimilar/immunology access defense; patient support evidence","H2 2026 brand defense planning",Patient journey + immunology access,10,EMEA emerging markets contact covers GCC scope
Novo Nordisk,Tier-1,Riyadh + Dubai,200-350,Medium,"Obesity (Wegovy/Ozempic GCC scale-up), insulin pen localization (NUPCO agreement)",High,"IQVIA, Kantar, specialized obesity HEOR partners",Medium,Unknown,Low,"Verify: GCC MA director (localization announcements)","Global obesity franchise insights team",14,Qualified,"$180K-$450K GCC","GCC MA/commercial + global obesity insights","NUPCO insulin pen manufacturing evidence; obesity access expansion","2026–2027 continuous launch",HEOR + multi-country obesity access programme,11,NUPCO localization deal = proven GCC investment
Bayer,Tier-1,Dubai + Riyadh,150-280,Medium,"Women's health, cardio, oncology (Nubeqa), ophthalmology; moderate launch cadence",Medium,"IQVIA, Kantar, local fieldwork partners",Medium,Unknown,Low,"Verify: Head MA GCC Bayer","Country manager KSA",10,Nurture,"$75K-$180K GCC","Country manager + therapy MA leads","Selective access in cardio/oncology; not top GCC spender","2027 planning cycle",Single-country access snapshot,18,Mid-tier GCC footprint; nurture via content
GSK,Tier-1,Dubai + Riyadh,200-320,Medium,"Vaccines, HIV, respiratory (Nucala), specialty; moderate pipeline",Medium,"IQVIA, Kantar, public health research partners",Medium,Unknown,Low,"Verify: GSK GCC MA lead","Vaccines commercial KSA",10,Nurture,"$80K-$200K GCC","Therapy-area MA leads","Vaccine policy evidence; respiratory access","2027",Vaccine policy + payer interviews,19,Vaccines focus — narrower but specialist fit
Boehringer Ingelheim,Tier-1,Dubai + Riyadh,120-200,Medium,"Respiratory (Ofev), cardio-metabolic, animal health adjacency",Medium,"IQVIA, Kantar, regional boutiques",Medium,Unknown,Low,"Verify: BI GCC MA/commercial lead","KSA country manager",9,Nurture,"$60K-$150K GCC","Country manager + therapy leads","Idiopathic pulmonary fibrosis/rare access; smaller affiliate","2027",Rare disease access diagnostic,22,Smaller affiliate — land via respiratory/rare niche
Amgen,Tier-1,Riyadh (Amgen Saudi Arabia Ltd) + Dubai,80-150,Medium,"Oncology/biosimilars, bone health, inflammation; BIO Middle East exhibitor",Medium,"IQVIA, Kantar, HEOR for biosimilar defense",Medium,Unknown,Low,"Hesham Sabry — GM Amgen Saudi Arabia (verify current)","Verify: GCC MA lead",10,Nurture,"$70K-$160K GCC","GM KSA + global oncology MA","Biosimilar competitive pressure; KSA registration evidence","H2 2026–2027",CI + biosimilar access landscape,16,Dedicated KSA entity; specialty oncology focus
Gilead,Tier-1,Dubai + Riyadh,100-180,Medium,"HIV, oncology/cell therapy (Kite), virology; moderate GCC launches",Medium,"IQVIA, Kantar, infectious disease specialists",Medium,Unknown,Low,"Verify: Gilead GCC MA director","HIV franchise lead MENA",10,Nurture,"$70K-$170K GCC","Therapy franchise leads + regional hub","HIV policy/access; cell therapy readiness","2027",HIV access + policy research,20,Infectious disease niche — strong methodology fit
Takeda,Tier-1,Dubai + Riyadh,150-250,Medium,"GI (Entyvio), rare disease, plasma-derived therapies; AI/discovery partnerships (global)",Low,"IQVIA, Kantar, rare disease consultancies",Medium,Unknown,Low,"Verify: Takeda GCC MA lead","Rare disease franchise MENA",10,Nurture,"$80K-$190K GCC","Rare disease + GI MA leads","Rare disease access dossiers; GI biosimilar defense","2027",Rare disease access programme,21,Rare disease aligns with BioNixus depth
Astellas,Tier-1,Dubai + Riyadh,80-140,Medium,"Oncology (Padcev), urology, gene therapy pipeline; smaller GCC team",Medium,"IQVIA, Kantar",Medium,Unknown,Low,"Verify: Astellas GCC commercial/MA","KSA country manager",9,Nurture,"$50K-$130K GCC","Country manager + oncology lead","Oncology access in hospital channel","2027",Oncology access snapshot,23,Smaller footprint; event-led nurture
Servier,Tier-1,Dubai + Riyadh,60-120,Low,"Cardio-metabolic, oncology (pipeline dependent); French HQ-driven GCC",Low,"IQVIA, local boutiques, EU consultancies",Low,Unknown,Low,"Verify: Servier GCC lead","Cardio franchise MENA",8,Nurture,"$40K-$100K GCC","GCC hub lead","Cardio access; limited custom primary spend","2027+",Fieldwork-only entry,24,Smaller GCC commercial — deprioritize outbound
Chiesi,Tier-1,Dubai + Riyadh,40-80,Low,"Respiratory (rare/pulmonary), neonatology; niche specialty",Low,"IQVIA, respiratory specialists, EU boutiques",Low,Unknown,Low,"Verify: Chiesi MENA lead","Respiratory MA (if dedicated)",8,Nurture,"$35K-$90K GCC","MENA hub lead","Respiratory/rare access evidence","2027+",Rare respiratory access diagnostic,25,Specialty niche — partner-led approach
Menarini,Tier-1,Dubai + Riyadh,50-100,Low,"Cardio/diabetes, consumer health overlap; Italian mid-pharma GCC",Low,"IQVIA, local fieldwork, EU partners",Low,Unknown,Low,"Verify: Menarini GCC director","KSA manager",8,Nurture,"$35K-$85K GCC","GCC director","Cardio/diabetes access; moderate spend","2027+",Access snapshot single-country,26,Mid-size — nurture only
Ferring,Tier-1,Dubai + Riyadh,60-110,Low,"Reproductive medicine, gastro, urology; specialty focus",Low,"IQVIA, specialty HEOR boutiques",Low,Unknown,Low,"Verify: Ferring GCC MA","Medical affairs MENA",9,Nurture,"$45K-$110K GCC","Therapy MA + medical affairs","Reproductive/gastro niche access","2027",Specialty payer interviews,17,Niche therapy fit; smaller budgets
Ipsen,Tier-1,Dubai + Riyadh,80-140,Medium,"Oncology (Cabometyx), neuro/endocrine; competes with BioNixus in MR but client potential",Medium,"Ipsos (corporate sibling conflict), IQVIA, Kantar",Medium,Unknown,Low,"Verify: Ipsen GCC MA lead","Oncology franchise MENA",9,Nurture,"$50K-$120K GCC","GCC MA + global oncology","Oncology access; may prefer non-Ipsos vendor for conflict reasons","2027",Position as independent vs Ipsos network,15,Conflict-aware positioning — independent GCC depth
Recordati,Tier-1,Dubai + Riyadh,40-70,Low,"Rare disease (Recordati Rare Diseases), specialty care",Low,"IQVIA, rare disease consultancies",Low,Unknown,Low,"Verify: Recordati Rare GCC lead","Medical affairs rare disease",8,Nurture,"$35K-$80K GCC","Rare disease unit lead","Ultra-rare access dossiers","2027+",Rare disease access,27,Small team — long nurture cycle
Biogen,Tier-1,Dubai + Riyadh,60-100,Low,"Neuro (MS franchise), biosimilars; reduced GCC investment post-restructuring",Low,"IQVIA, Kantar, neuro specialists",Low,Unknown,Low,"Verify: Biogen MENA lead","MS franchise access",8,Nurture,"$40K-$95K GCC","MENA hub + global neuro MA","MS access maintenance; limited new launches","2027+",Neuro access maintenance study,28,Post-restructuring — lower priority
